n_active,sigma,K,IO+LS_mean,IO+LS_std,IO+LS_n,IO+LS_train_s_mean,IO+LS_train_s_std,IO+LS_eval_ms_mean,IO+LS_eval_ms_std,IO+SPO+_mean,IO+SPO+_std,IO+SPO+_n,IO+SPO+_train_s_mean,IO+SPO+_train_s_std,IO+SPO+_eval_ms_mean,IO+SPO+_eval_ms_std,CIL_mean,CIL_std,CIL_n,CIL_train_s_mean,CIL_train_s_std,CIL_eval_ms_mean,CIL_eval_ms_std,CIL-MSE_mean,CIL-MSE_std,CIL-MSE_n,CIL-MSE_train_s_mean,CIL-MSE_train_s_std,CIL-MSE_eval_ms_mean,CIL-MSE_eval_ms_std
5,0.01,1000,189.5840759931073,66.63318006236501,50,2.209678883552552,0.0302114928334153,1.2925668859481811,0.0400526042645485,170.20650093888383,59.299768618268665,50,28.128925700187683,0.260624327508941,1.2885595703125,0.0162441572627872,55.1595081200488,5.346272970502097,50,26.165502548217773,0.289755345920024,2.1509722805023195,0.0302489663434545,4.6008564909984,2.659883150854751,50,0.11612754344940185,0.05731773386606797,2.7333294343948364,0.30775236939577927
5,0.1,50,206.25381024034056,98.74552292226772,50,0.1105457639694213,0.0004045585177719,1.2945114803314208,0.0188941584215409,191.545135758895,90.78868019977035,50,4.00403938293457,0.0210425786884835,1.2937801885604858,0.0072683518782814,57.862048084218976,10.762752017457244,50,3.9469445180892944,0.0445900877750313,2.162326302528381,0.0479369992384806,7.303141419588261,5.356027519341535,50,0.017132782936096193,0.01054077220238855,2.7588138580322266,0.3323077995172818
5,0.1,200,204.8210899508213,84.30372288766917,50,0.4353197145462036,0.0066616225480458,1.2710149526596068,0.0159134227897728,191.35960960792315,76.70895537512887,50,10.678916969299316,0.1094136415055777,1.275628113746643,0.0162147540730919,56.94156801945847,8.104014285058422,50,10.357953782081603,0.1038447913423595,2.129827170372009,0.0490460919608035,5.530892930178194,4.909436276390663,50,0.046270809173583984,0.025073364590481043,2.8210060739517213,0.4878869235609612
5,0.1,1000,204.33833720521096,89.49522717931394,50,2.175731635093689,0.0228843705368415,1.2774192094802856,0.0439994505243506,185.05464663870697,77.60354694245153,50,27.78177785873413,0.1998750832498882,1.2709679698944092,0.0152629216659661,56.244487413533726,6.820448044322285,50,25.81636734008789,0.185023120031247,2.1233773326873777,0.0250162323494895,4.458116164128704,2.6295358945656657,50,0.13690492153167724,0.06784288917966963,2.8592093563079835,0.5799908169445911
5,0.5,50,203.3641439076989,85.01557034672193,50,0.1087253999710083,0.0020028476387411,1.2619462823867795,0.0148785531442213,193.8075144749055,79.3270871475061,50,3.921213397979736,0.0448145135704153,1.2669120931625366,0.0156255066590027,57.92117034639715,9.124404737075862,50,3.854381508827209,0.0349300285591992,2.1235821437835694,0.0379472189561921,7.198381732958308,5.282559061502334,50,0.01461848258972168,0.0068284496430161025,2.5507261085510256,0.15733262454077626
5,0.5,200,222.04716990565817,115.42919211268917,50,0.4313816881179809,0.0069252186907048,1.2684721326828003,0.0162136383827714,208.11136743803087,109.87079507273069,50,10.62803572654724,0.1140672934310781,1.268646297454834,0.0156201868779304,59.73182628437551,11.24109804913867,50,10.29369171142578,0.0997774096419401,2.116503591537476,0.0402569048704449,7.152512879499828,5.363306022773543,50,0.05871464252471924,0.030478430534000737,3.038937182426453,0.7636570644553862
5,0.5,1000,195.88729684732888,85.19316350595368,50,2.179906005859375,0.0220439057282451,1.2739124345779418,0.0192855195732302,175.13349156513587,74.62394873077189,50,27.842347698211668,0.2297317749502934,1.2770829391479492,0.0163601991931371,57.9585892910628,7.563487603043605,50,25.89279449939728,0.245701748020507,2.125170736312866,0.022761157955631,5.757506632560299,3.8777170567961528,50,0.10981202125549316,0.05732565904170332,2.6049080085754395,0.4290596319632352
10,0.01,50,204.6668939776224,103.0874166549582,50,0.112595477104187,0.0018603347511043,1.3158149528503418,0.0168039029481036,197.41712315001843,99.03247711259932,50,4.090979514122009,0.0489885037895234,1.3225629425048828,0.0148354347069232,55.92302931530085,7.384778319733487,50,4.0013330984115605,0.0424326716873068,2.1913644742965697,0.0396669882986335,5.738314283285958,4.517272322687144,50,0.02143427848815918,0.011601881862213451,3.097358512878418,0.7807734813861892
10,0.01,200,202.01912128047232,78.58776980829157,50,0.4490862083435059,0.0063231993371384,1.3149393749237062,0.0201476551807417,193.5705949000434,75.98454927813542,50,11.041269998550415,0.1262305106412063,1.316470103263855,0.0151739533747967,56.69600168774268,7.924703233907947,50,10.664119844436646,0.1065985622421404,2.184069585800171,0.0249569556159069,5.460547611178733,3.645873632851231,50,0.03549137592315674,0.013319855975726982,2.6255598211288453,0.14512733451836288
10,0.01,1000,217.47246306881007,129.14896308095987,50,2.2971001720428466,0.0567443784488225,1.3370365238189696,0.0340700492051114,206.862642834937,124.90553115513632,50,29.16915543079376,0.4155866775354124,1.3382846212387085,0.0232533880452081,57.126334579815264,12.426972406830474,50,27.05942440032959,0.3987707295164549,2.232150926589966,0.0489421442285784,5.3335560376632705,3.7108006350119043,50,0.10243261337280274,0.04506896443926429,2.6567980909347533,0.28576292383785445
