n_active,sigma,K,IO+LS_mean,IO+LS_std,IO+LS_n,IO+LS_train_s_mean,IO+LS_train_s_std,IO+LS_eval_ms_mean,IO+LS_eval_ms_std,IO+SPO+_mean,IO+SPO+_std,IO+SPO+_n,IO+SPO+_train_s_mean,IO+SPO+_train_s_std,IO+SPO+_eval_ms_mean,IO+SPO+_eval_ms_std,CIL_mean,CIL_std,CIL_n,CIL_train_s_mean,CIL_train_s_std,CIL_eval_ms_mean,CIL_eval_ms_std
5,0.1,1000,204.33833720521096,89.49522717931394,50,2.175731635093689,0.022884370536841597,1.2774192094802856,0.04399945052435062,185.05464663870697,77.60354694245153,50,27.78177785873413,0.19987508324988823,1.2709679698944092,0.015262921665966154,56.244487413533726,6.820448044322285,50,25.81636734008789,0.185023120031247,2.1233773326873777,0.025016232349489544
5,0.5,50,203.3641439076989,85.01557034672193,50,0.1087253999710083,0.002002847638741103,1.2619462823867797,0.014878553144221346,193.8075144749055,79.3270871475061,50,3.921213397979736,0.04481451357041539,1.2669120931625366,0.015625506659002763,57.92117034639715,9.124404737075862,50,3.8543815088272093,0.034930028559199286,2.1235821437835694,0.03794721895619212
5,0.5,200,222.04716990565817,115.42919211268917,50,0.43138168811798094,0.0069252186907048825,1.2684721326828003,0.016213638382771487,208.11136743803087,109.87079507273069,50,10.62803572654724,0.11406729343107819,1.268646297454834,0.0156201868779304,59.73182628437551,11.24109804913867,50,10.293691711425781,0.09977740964194012,2.1165035915374757,0.040256904870444914
5,0.5,1000,195.88729684732888,85.19316350595368,50,2.179906005859375,0.022043905728245168,1.2739124345779418,0.019285519573230218,175.13349156513587,74.62394873077189,50,27.842347698211668,0.22973177495029348,1.2770829391479492,0.01636019919313717,57.9585892910628,7.563487603043605,50,25.89279449939728,0.245701748020507,2.125170736312866,0.02276115795563107
10,0.01,50,204.6668939776224,103.08741665495819,50,0.112595477104187,0.0018603347511043575,1.3158149528503418,0.01680390294810361,197.41712315001845,99.03247711259931,50,4.090979514122009,0.04898850378952342,1.3225629425048828,0.014835434706923282,55.92302931530085,7.3847783197334875,50,4.0013330984115605,0.042432671687306876,2.1913644742965697,0.03966698829863352
10,0.01,200,202.01912128047232,78.58776980829157,50,0.4490862083435059,0.0063231993371384255,1.3149393749237062,0.020147655180741752,193.5705949000434,75.98454927813542,50,11.041269998550415,0.1262305106412063,1.316470103263855,0.015173953374796715,56.69600168774268,7.924703233907947,50,10.664119844436646,0.10659856224214045,2.184069585800171,0.024956955615906978
10,0.01,1000,217.47246306881007,129.14896308095987,50,2.2971001720428466,0.05674437844882255,1.3370365238189696,0.03407004920511146,206.862642834937,124.90553115513632,50,29.16915543079376,0.41558667753541245,1.3382846212387085,0.023253388045208115,57.126334579815264,12.426972406830474,50,27.05942440032959,0.3987707295164549,2.232150926589966,0.048942144228578476
10,0.1,50,225.51060256292115,119.27830379250051,50,0.11531621932983399,0.004591575443063759,1.3590295600891114,0.03708472657126184,215.0710765405864,112.49011065828113,50,4.180192623138428,0.09846343324793483,1.3631708240509033,0.06095468313014686,57.3432211935056,9.17321834064454,50,4.104578886032105,0.10379987410016042,2.2577576208114625,0.0704784543428338
10,0.1,200,235.4767982324737,172.3421317393558,50,0.5039405298233032,0.11696801189457105,1.4607781171798706,0.26309439942167695,228.76785115968366,170.7526239139207,50,12.166742463111877,1.6525476055352053,1.4548869371414184,0.25570185263112843,58.76059309867849,9.40010218934495,50,11.804134402275086,1.7111460031624348,2.4337609720230104,0.39641054088778926
10,0.1,1000,228.30898193330674,144.11069120725676,50,3.5627271223068235,0.9020836683916903,2.017850751876831,0.38164896099867895,213.87643617594705,132.52380840762058,50,44.05017733097076,6.2333746138138375,2.008378367424011,0.4203843168857463,59.64157916373283,11.174844754295485,50,40.24527976512909,5.212702823845956,3.508305506706238,0.829573016101773
10,0.5,50,197.9911985648938,98.16251239708339,50,0.1791566038131714,0.05512105294615628,2.0393314456939695,0.39741375172270177,190.15094786682567,95.23120009964178,50,6.131543383598328,1.0135333953344996,2.0165667724609375,0.44541707386475915,57.410891567793286,8.325558371811464,50,6.1701247072219845,1.0961603379781628,3.4310355234146117,0.8270187449194095
10,0.5,200,235.29967355278936,182.3962205004089,50,0.7125801229476929,0.19889301112866603,1.963751153945923,0.41717388210035233,227.24889016301816,183.1360998692855,50,16.407678170204164,2.944641584308986,1.9269782781600953,0.44530821426903094,62.45880719184285,13.103669787020156,50,15.796936182975768,2.628586305345736,3.4362862968444823,0.7587958593684547
10,0.5,1000,205.69173582061464,99.08089357675435,50,3.8039436960220336,0.9485139562547292,2.1885207796096804,0.39354205730753583,193.97642792936213,92.69255711565143,50,44.541004061698914,5.9677072451207644,1.9874843502044677,0.4361788910133359,59.07868079499767,7.462675765700042,50,40.74440577030182,4.837886295134338,3.494391713142395,0.8593400080783561
